area;ciudad;conglomerado;vivienda;hogar;persona;s1p2;s1p3;s1p3b;s1p4;s1p5a;s1p5b;s1p6;s1p7;s1p8;s1p9;s1p10;s1p11;s1p12a;s1p12b;s1p13;s1p14a;s1p14c;s2p1;s2p2a;s2p2b;s2p3;s2p41;s2p42;s2p43;s2p44;s2p45;s2p5;s2p6;s2p7a;s2p7b;s2p8;s2p9;s2p10a;s2p10b;s6p1a;s6p1b;s6p2;s6p3;s6p4;s6p4a;s6p4b;s6p4c;s6p4d;s7p1a;s7p1b;s7p1a1;s7p1b1;s7p1b2;s7p1b3;s7p1b4;s7p1b5;s7p1b6;s7p2;s7p211;s7p212;s7p213;s7p214;s7p3;s7p4;s7p5;s7p6;s7p71;s7p72;s7p73;s7p74;s7p75;s7p76;s7p77;s7p78;s7p79;upm;estrato;fexp;id_hogar;id_per
1;010150;001804;08;1;03;1;30;2;3;5;10;6;4;4;6;1; ;9;4; ;2; ;1;8;1; ; ; ; ; ; ;3;3;2; ; ; ; ; ;2; ;2;2;1;2;0;1;0;1;2;2; ; ; ; ; ; ;2; ; ; ; ; ; ; ;1;1;1;1;2;2;2;2;1;2;010150001804;2712;374,3123365329;010150001804081;01015000180408103
1;010150;001804;09;1;01;2;70;1;1;1;10;3;3;3;6;2;6;6;3; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;3;2;1;2;0;2;0;1;1;1;1;1;1;2;2;2;1;1;13;13;13;1;1;3;1;1;1;1;2;2;2;2;2;2;010150001804;2712;368,820295089999;010150001804091;01015000180409101
1;010150;001804;11;1;01;2;66;1;1;10;10;2;3;3;6;2;1;1; ;2; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;3;2;2; ; ; ; ;2; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ;010150001804;2712;368,820295089999;010150001804111;01015000180411101
1;010150;001804;11;1;02;1;29;2;3;1;10;2;3;3;6;2;5;6;1; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;3;2;2; ; ; ; ;1;1;1;1;1;1;1;1;1;1;1;2;7;8;1;1;4;1;1;2;2;2;2;1;1;1;2;010150001804;2712;374,3123365329;010150001804111;01015000180411102
1;010150;001804;12;1;01;2;55;2;1;10;10;4;3;3;6;2;11;4;6;1; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;3;2;2; ; ; ; ;1;1;1;1;1;2;2;2;2;1;2;7;13;13;1;2;2;2; ; ; ; ; ; ; ; ; ;010150001804;2712;368,820295089999;010150001804121;01015000180412101
1;010150;001804;12;1;02;1;28;2;3;10;10;6;3;3;6;2;11;4;6;1; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2;2;2; ; ; ; ;2; ; ; ; ; ; ; ; ;1;2;7;13;13;1;1;1;1;1;1;1;2;2;2;1;1;2;010150001804;2712;374,3123365329;010150001804121;01015000180412102
1;010150;001804;12;1;03;1;25;2;3;1;10;6;3;3;6;1; ;7;2; ; ; ;1;6;3;1;2;2;1;2;2;1;1;2; ; ; ; ; ;1;1;4;5;1;5;0;0;0;1;1;1;1;1;1;1;2;1;1;5;10;2;7;1;1;1;2; ; ; ; ; ; ; ; ; ;010150001804;2712;374,3123365329;010150001804121;01015000180412103
1;010150;001804;12;1;04;1;23;2;3;10;10;6;3;3;6;2;5;7;3; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;6;1;2; ; ; ; ;1;1;1;1;1;1;1;1;1;1;7;2;13;13;1;1;5;1;2;2;2;2;2;2;2;2;2;010150001804;2712;374,3123365329;010150001804121;01015000180412104
1;010150;001804;12;1;05;2;22;2;3;10;10;6;3;3;6;2;5;7;3; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;3;2;2; ; ; ; ;1;1;1;1;1;2;2;2;2;1;2;7;13;13;1;1;2;2; ; ; ; ; ; ; ; ; ;010150001804;2712;368,820295089999;010150001804121;01015000180412105
1;010150;001804;12;1;06;2;21;1;3;10;10;6;3;3;6;2;11;7;3; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;3;2;1;3;0;0;0;1;1;1;1;1;1;1;2;2;1;7;2;13;13;1;1;3;2; ; ; ; ; ; ; ; ; ;010150001804;2712;368,820295089999;010150001804121;01015000180412106
1;010150;001804;12;1;07;1;19;2;3;10;10;6;3;3;6;2;11;7;3; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;3;2;2; ; ; ; ;1;1;1;1;1;1;1;1;2;1;7;2;13;13;1;1;2;1;1;1;2;2;2;2;2;1;2;010150001804;2712;374,3123365329;010150001804121;01015000180412107
