area;ciudad;conglomerado;panelm;vivienda;hogar;p01;p02;p03;p04;p05a;p05b;p06;p07;p08;p081;p085;p09;p10a;p10b;p11;p12a;p12b;p15;p15aa;p15ab;cod_inf;p20;p21;p22;p23;p232;p233;p24;p25;p26;p27;p28;p29;p29a;p30;p31;p32;p33;p34;p35;p36;p37;p38;p39;p40;p41;p42;p421;p422;p42a;p43;p44a;p44b;p44c;p44d;p44e;p44f;p44g;p44h;p44i;p44j;p44k;p45;p46;p47a;p47b;p48;p49;p50;p51a;p51b;p51c;p52;p53;p54;p54a;p55;p56a;p56b;p57;p58;p61b1;p63;p64a;p64b;p65;p66;p67;p68a;p68b;p69;p70a;p70b;p71a;p71b;p72a;p72b;p73a;p73b;p74a;p74b;p75;p76;p77;p78;sd01;sd021;sd022;sd023;sd024;sd025;sd026;sd027;sd028;sd029;sd0210;sd0211;sd03;sp01;af101;af102h;af102m;af201cod;af201d;af201h;af201m;af202cod;af202d;af202h;af202m;af203cod;af203d;af203h;af203m;af204h;af204m;ced01a;estrato;fexp;nnivins;ingrl;ingpc;pobreza;epobreza;condact;empleo;desempleo;secemp;grupo1;rama1;upm;id_vivienda;id_hogar;id_persona;periodo
1;10150;000304;048;05;1;01;2;57;1;1;10;6;2; ; ; ;3;6;6; ; ; ;6;1; ;1;1; ; ; ; ; ;40; ;1;4; ; ;5; ; ; ; ; ; ; ; ; ; ;8890;5120;1; ; ; ;3;2;2;2;1;2;1;2;2;2;1;1;10;1;2; ; ; ;1;40; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;570;60;2; ; ; ; ;2; ;2; ;1;350;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;2; ; ; ;2; ; ; ;1;4;2;0;5;0;1;2712;75,7870659762083;4;630;326,666666666667;0;0;1;1; ;1;5;17;010150000304;01015000030404805;010150000304048051;01015000030404805101;202412
1;10150;000304;048;05;1;02;1;35;3;10;10;6;1;1;1;4; ;9;3; ;2; ;6;1; ;1;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ;11; ;9; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ;2; ; ; ;2; ; ; ;1;4;1;0;4;0;1;2712;75,7870659762083;5; ;326,666666666667;0;0;9; ; ; ; ; ;010150000304;01015000030404805;010150000304048051;01015000030404805102;202412
1;10150;000304;048;05;1;03;2;86;6;10;10;4;2; ; ; ;1;6;3; ; ; ;6;1; ;1;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ;11; ;12; ;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2712;75,7870659762083;3; ;326,666666666667;0;0;9; ; ; ; ; ;010150000304;01015000030404805;010150000304048051;01015000030404805103;202412
1;10150;000304;048;06;1;01;1;72;1;10;10;3;2; ; ; ;1;4;6;1; ; ;6;1; ;1;1; ; ; ; ; ;40; ;1;4; ; ;5; ; ; ; ; ; ; ; ; ; ;4799;9520;6;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ;10;3;1;1;2;2;1;40; ; ; ; ; ; ; ; ; ; ; ;5;500;2; ;200; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2712;75,7870659762083;3;300;300;0;0;4;1; ;2;9;7;010150000304;01015000030404806;010150000304048061;01015000030404806101;202412
1;10150;000304;048;07;1;01;1;28;1;10;10;5;2; ; ; ;5;7;3; ; ; ;6;1; ;1;1; ; ; ; ; ;40; ;1;4; ; ;5; ; ; ; ; ; ; ; ; ; ;4630;8332;2; ; ; ;2;2;2;2;2;2;2;2;2;2;2;2;6;1;1;3;2;1;1;40; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ;600;0;2; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ;2; ; ; ;1;1;4;0;1;3;0;30;8;0;1;2712;75,7870659762083;4;600;201,666666666667;0;0;1;1; ;1;8;7;010150000304;01015000030404807;010150000304048071;01015000030404807101;202412
1;10150;000304;048;07;1;02;2;30;2;10;10;5;2; ; ; ;3;6;6; ; ; ;6;2;90150;1;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ;11; ;9; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4; ; ; ;2; ; ; ;2; ; ; ;2; ; ; ;5;0;1;2712;75,7870659762083;4; ;201,666666666667;0;0;9; ; ; ; ; ;010150000304;01015000030404807;010150000304048071;01015000030404807102;202412
1;10150;000304;048;07;1;03;1;8;7;10;10; ;1;2;1;4; ;5;3;1; ; ;6;2;170150;1;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ;11; ;12; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;1;5;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;5;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2712;75,7870659762083;3; ;201,666666666667;0;0;0; ; ; ; ; ;010150000304;01015000030404807;010150000304048071;01015000030404807103;202412
1;10150;000801;058;01;1;01;2;66;1;2;10;2;2; ; ; ;1;6;6; ; ; ;6;2;10251;1;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ;11; ;9; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ;1;200;1;250;1;100;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ;2; ; ; ;2; ; ; ;1;7;0;30;1;0;1;2712;135,365949761653;4; ;356,666666666667;0;0;9; ; ; ; ; ;010150000801;01015000080105801;010150000801058011;01015000080105801101;202412
1;10150;000801;058;01;1;02;1;30;3;1;10;6;2; ; ; ;3;9;3; ;2; ;6;1; ;1;1; ; ; ; ; ;40; ;1;2;1;20; ;1;4; ; ; ; ; ; ; ; ;9311;5223;2; ; ; ;2;2;2;2;1;2;1;2;2;2;1;1;2;1;1;5;2;1;1;40; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;420;40;2; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4; ; ; ;1;5;1;30;1;6;0;40;1;6;0;30;3;0;1;2712;135,365949761653;5;460;356,666666666667;0;0;1;1; ;1;5;18;010150000801;01015000080105801;010150000801058011;01015000080105801102;202412
1;10150;000801;058;01;1;03;1;27;3;10;10;6;2; ; ; ;3;7;3; ; ; ;6;1; ;1;1; ; ; ; ; ;10;1; ;3;1;30; ;1;4; ; ; ; ; ; ; ; ;4741;5223;2; ; ; ;3;2;2;2;2;2;2;2;2;2;2;2;0;1;1;2;2;1;1;10; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ;60;0;2; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ;1;4;1;40;1;6;0;40;2; ; ; ;4;0;1;2712;135,365949761653;4;60;356,666666666667;0;0;2;1; ;1;5;7;010150000801;01015000080105801;010150000801058011;01015000080105801103;202412
