"ingreso_monetario_hogar","fexp"
596.916666666667,136.74183814568
1625.10666666667,136.74183814568
2298.23,136.74183814568
3432.6,205.89359005779
2208.4,205.89359005779
1575,307.66913582778
1868.33,220.459868522099
2613.13666666667,182.9171688191
900,126.570957622447
865.166666666667,163.641871879256
2506.66666666667,163.641871879256
1212.33333333333,113.600911690257
866.666666666667,137.406553177903
2202.5,137.406553177903
1603.66666666667,151.467882253676
1403.93333333333,151.467882253676
920.503333333333,151.467882253676
859,151.467882253676
3466.66666666667,162.643187316548
1044,126.421699417704
490,188.833966963082
1933.5,188.833966963082
833.33,408.616786929443
861.663333333333,166.024339950046
1257.49,166.024339950046
1068.99666666667,133.535946046131
3270.73333333333,89.8006101255211
2815,405.537289009787
580,111.205520285909
929.3,86.3629216276609
2204.93333333333,429.834886191459
620,124.676381838708
1113.33333333333,124.676381838708
675,96.8712223253053
878,123.263950196429
742.24,123.263950196429
612.7,143.09657743449
2868.95,279.893449954438
543.333333333333,279.893449954438
2418.02666666667,103.533106024586
786.83,103.533106024586
486.67,80.9288429841779
1434.16666666667,92.894571162526
440,99.5692996206406
2427.71666666667,99.5692996206406
2506.70333333333,109.720995877372
2566.67,166.188636690856
3200.67,194.78988383117
4104,154.485211571782
1545.83,154.485211571782
3314.66666666667,161.51391027352
3574.16666666667,161.51391027352
1960.00333333333,161.51391027352
816.326666666667,121.924124650815
500,162.787902554381
2246.67,162.787902554381
1817.91666666667,165.075732536226
772.858333333333,119.928982901191
754.1,119.928982901191
771.666666666667,149.323341455405
1085,149.323341455405
600,84.5653084559682
1667,84.5653084559682
858,116.833255217429
2270.83666666667,116.016239446678
1428.13333333333,149.979644761581
912.933333333333,149.979644761581
10227.3333333333,137.12424663916
844,294.413823666432
689.166666666667,294.413823666432
2526.66666666667,294.413823666432
1845.75,301.223754912253
979.166666666667,152.122211115318
1197.5,136.74183814568
812.79,182.118140067634
1286.16,182.118140067634
1206,137.345685530518
2247.66666666667,161.882791171231
5995.83666666667,162.754946945545
1537.91666666667,114.63509373898
842.5625,114.63509373898
1188.33,128.774855943205
2189.50333333333,128.774855943205
616.64,118.083921625788
363.33,103.575030687392
468.333333333333,107.936084611072
690,137.79840488496
775,212.333281202109
889.446666666667,256.040661766712
916.67,256.040661766712
434.083333333333,121.924124650815
800,174.561471389678
874,109.345305678494
643.5,109.345305678494
436.253333333333,130.296525800589
1283.75,131.968472370596
1103.64666666667,249.978715112097
1782.33333333333,249.978715112097
3672.17,147.879089512819
706.15,135.739000152613
1161.33333333333,135.739000152613
1480,60.7640031299587
197.333333333333,149.948755401713
799.166666666667,149.948755401713
448.05,70.7793024676987
715.233333333333,81.8626523183003
1398.33,81.8626523183003
1253.66333333333,59.2445727407556
1360,80.1275122275834
537.663333333333,97.9848228641561
1080,87.6368929728947
435,60.9166127795768
2096.59333333333,67.5350130331567
2034.42333333333,70.1756410394028
805,74.1933945998059
575,74.1933945998059
950,72.080896834586
450.45,83.1738346970653
1075.73,84.2884477868421
673.05,74.4306156902387
1718,156.409619292459
740.9,96.2085401346651
748.333333333333,96.2085401346651
281.67,72.0807606460298
1954.17,158.492123136057
512.333333333333,158.492123136057
1344.66666666667,63.064385409835
2169.98666666667,159.734039026302
259.716666666667,65.81426745
471,61.8278288331716
316.366666666667,79.0392613069875
968.33,67.3911063899082
1310.5,67.3911063899082
320,68.6046384383772
637,71.4173960405697
455,65.541154449793
635.476666666667,67.8439021775223
1757,67.8439021775223
448.336666666667,74.3067522511172
716.653333333333,74.3067522511172
625,74.3067522511172
4251.83,46.6859888974132
618.77,46.6859888974132
1014.17,118.101919485741
343.366666666667,29.5822213093013
1643.83666666667,29.5822213093013
2232.39666666667,42.0745565246891
183.663333333333,54.9542818805914
5840.09666666667,104.123902510594
1070.37666666667,54.0865826930032
907.153333333333,60.5720779027976
1460.02666666667,60.5720779027976
1350.26666666667,57.6264605139928
544.458333333333,57.6264605139928
395.166666666667,57.6264605139928
148.166666666667,42.4130749382987
932.333333333333,59.8133108104212
774.89,59.8133108104212
655,56.7498890019489
947.646666666667,56.7498890019489
1786.11666666667,56.7498890019489
624.723333333333,47.435675917834
746.75,43.6284535494896
813.4,43.6284535494896
761,43.6284535494896
1626.90333333333,43.6284535494896
487.163333333333,51.6741577571044
262.15,40.4598412240349
857.01,52.5788968988849
735.166666666667,52.5788968988849
177.666666666667,61.4989586605331
457.336666666667,58.2704269755683
440.583333333333,44.5520945337254
1258.58333333333,55.8666847305547
753.643333333333,67.8701865887018
155.416666666667,40.3647162054831
726.958333333333,40.8983222619309
2437.14,58.4604501454416
775,54.7116375862758
634.166666666667,68.277512824682
147.458333333333,47.5203767840904
95,56.888466584483
509.166666666667,66.8528929642179
708.33,66.8528929642179
907.363333333333,54.8911882018895
1611.685,67.644316535159
2642.05333333333,67.644316535159
349.666666666667,69.9419978701495
309.5,69.9419978701495
298.583333333333,48.6779244237028
1062.67,56.7108597902117
2296.38666666667,56.7108597902117
172.073333333333,109.505148180537
1393.84666666667,65.0855792579692
355.016666666667,58.7643514815555
503.333333333333,93.2652669630609
651.293333333333,44.8185493415167
348,58.4368840620682
1152.28,58.122894834272
2412.33333333333,60.0425150946822
2910.33,60.0425150946822
722,61.8395622013892
517.833333333333,100.860361133759
704.44,100.860361133759
340.125,51.7689002923351
195,51.7689002923351
212.5,61.0761108161869
320,59.6941671695548
575,51.9648445737259
741.17,59.268058859572
477.5,57.3141668092565
400,57.3141668092565
697.5,92.4338719220765
1044.94666666667,58.7765584511196
705,58.7765584511196
1637.41333333333,70.82327287939
1746.75,69.5930919608895
1298.68333333333,52.3799857755864
888.13,52.3799857755864
4825.83,52.3799857755864
1388.58333333333,52.3799857755864
886.666666666667,57.877083213265
803.333333333333,52.7088753095376
433.333333333333,59.1049251301032
1220.00333333333,68.3052710759086
743.5,68.3052710759086
2722.26666666667,174.783851581453
584.05,69.9411295663695
491.916666666667,69.0085811721513
808,70.3356692716157
1270.83,59.4535468560072
1180.15666666667,59.4535468560072
793.65,73.4607476993869
791.666666666667,73.4607476993869
350,96.3516039007395
2808.25333333333,96.3516039007395
3655.58333333333,63.1973322313385
610.666666666667,63.1973322313385
459.25,148.659951572722
1224.83333333333,58.4743699337321
1023.3,64.1516567869927
410,64.2489227331085
1287.22833333333,64.2489227331085
5931.85666666667,76.6664888384496
943.333333333333,124.872670692464
775,73.8683404096267
418.941666666667,58.8141316808107
704.996666666667,113.918927649266
717.7,59.3042494448175
751.67,63.6307138823786
1899.75,79.100344961011
2481.83,53.8155335140885
488.7,44.3869359981431
1616.33333333333,44.3869359981431
1568.29333333333,119.342795955254
535,63.6248434040862
550.333333333333,63.6248434040862
400,143.388955693641
591.25,143.388955693641
1163.62166666667,143.388955693641
1522.33333333333,62.7350737928648
1210.7,62.7350737928648
250,131.028951592692
592.083333333333,69.6843522997135
505.45,69.6843522997135
699.336666666667,60.0947625336979
1866.66666666667,60.0947625336979
328.333333333333,60.0947625336979
455,60.0947625336979
313.541666666667,59.9085484901094
1491.33,56.1563330802038
581,121.741872772817
982.67,114.473443267049
1105.23333333333,68.2724320032759
600,51.8775250926033
1222.92,51.8775250926033
546.9,51.8775250926033
558.333333333333,71.0942126067393
760,71.0942126067393
362.2,68.9166087652601
460.833333333333,62.7117913174489
907.503333333333,62.7117913174489
1003.25333333333,60.167917283039
956.67,50.4952085932706
502.5,48.391241568551
614.8,63.9591727937012
1273.83333333333,63.9591727937012
466.666666666667,59.9285047021314
455,59.9285047021314
613.333333333333,59.9285047021314
708.42,71.3634933189837
450,112.788218689968
552.64,58.260687988285
430.833333333333,51.1957456903046
827.36,60.5527171436152
791.67,60.5527171436152
570,60.5527171436152
427.5,56.7681723221393
1800.76666666667,53.7589976592096
4859.09,54.2759110982405
449.166666666667,86.8035761555991
1250,86.8035761555991
1262.6,50.8576125498106
1810,112.372486745839
1051.21666666667,103.382687806172
417.77,44.799164716008
1111.3,46.801622182524
1487.6,53.1011078277158
1708.9,52.0402115985983
1910.83333333333,50.5297406693089
600,50.8576125498106
1172.00666666667,49.1698149322039
2407.09333333333,51.6913439030862
543.708333333333,54.7542383329936
521.9,54.9148079468734
257.4,46.9322042854231
698.5,47.0952141163786
770,59.6246498122659
9057.7,89.2117913118828
455,147.905558245927
561.54,56.7250190675598
371.166666666667,56.7250190675598
1190.66666666667,57.2270103867418
881.916666666667,57.2270103867418
343.2,57.2270103867418
507.4,54.0477320319227
490,50.3633346861512
4359.83333333333,50.3633346861512
438.75,50.3633346861512
333.85,48.8523259399015
159,53.9341863763935
320,53.9341863763935
1288.25,52.8727813355766
350,104.080423197197
574.583333333333,48.4117385847437
