anio,wb_millones_usd,bce_millones_usd,diferencia_millones_usd,diferencia_pct_bce,dentro_tolerancia_0_5_pct
2016,2612.07885184204,2602,10.078851842039967,0.3873501860891609,TRUE
2017,2849.06857717313,2840.2,8.868577173130234,0.3122518545570817,TRUE
2018,3039.07850888019,3030.6,8.47850888019002,0.2797633762353996,TRUE
2019,3242.6843169530703,3234.6,8.084316953070356,0.24993250952421803,TRUE
2020,3343.69616352993,3337.8,5.896163529929709,0.17664819731349116,TRUE
2021,4367.441780588139,4362.4,5.041780588139773,0.11557355098431535,TRUE
2022,4747.98044638852,4743.5,4.4804463885202495,0.094454440571735,TRUE
2023,5452.43247665757,5447.5,4.932476657570078,0.09054569357632083,TRUE
2024,6544.3559006287005,6539.8,4.5559006287003285,0.06966421952812515,TRUE
2025,7734.0587715887805,7729.5,4.558771588780473,0.05897886782819682,TRUE
