pais,remesas_2020,remesas_2024,crecimiento_2020_2024_pct
Ecuador,3343.69616352993,6544.3559006287005,95.72220622222576
Colombia,6924.52613555919,11873.2329762659,71.46636092965049
Peru,2906.81445623214,4933.77111013101,69.73120178183798
