anio,bce_workbook_millones_usd,bce_boletin_millones_usd,diferencia_millones_usd,diferencia_pct_boletin
2016,2601.9646489336997,2602,-0.03535106630033624,-0.0013586113105432838
2017,2840.178651669999,2840.2,-0.02134833000081926,-7.51648827576201e-4
2018,3030.5764738959974,3030.6,-0.023526104002485226,-7.76285356117113e-4
