anio,sexo,sector_desc,horas_promedio
2013,Hombres,Empleo Doméstico,45.148936170212764
2013,Hombres,No clasificados por sector,40.32996894409938
2013,Hombres,Sector Formal,45.55396896784349
2013,Hombres,Sector Informal,39.149994718495826
2013,Mujeres,Empleo Doméstico,37.324561403508774
2013,Mujeres,No clasificados por sector,34.36758893280632
2013,Mujeres,Sector Formal,41.441563119034754
2013,Mujeres,Sector Informal,32.14511201629328
2014,Hombres,Empleo Doméstico,38.21739130434783
2014,Hombres,No clasificados por sector,39.89428263214671
2014,Hombres,Sector Formal,44.720187276232444
2014,Hombres,Sector Informal,37.77530442875979
2014,Mujeres,Empleo Doméstico,35.984600577478346
2014,Mujeres,No clasificados por sector,33.30483271375465
2014,Mujeres,Sector Formal,41.160771361602386
2014,Mujeres,Sector Informal,29.918507157464212
2015,Hombres,Empleo Doméstico,39.891304347826086
2015,Hombres,No clasificados por sector,39.08137292711145
2015,Hombres,Sector Formal,44.27581837381204
2015,Hombres,Sector Informal,36.80824459503066
2015,Mujeres,Empleo Doméstico,35.32441113490364
2015,Mujeres,No clasificados por sector,31.595549738219894
2015,Mujeres,Sector Formal,40.821870995301154
2015,Mujeres,Sector Informal,29.036569987389658
2016,Hombres,Empleo Doméstico,41.04651162790697
2016,Hombres,No clasificados por sector,38.423539901917074
2016,Hombres,Sector Formal,44.38318947219471
2016,Hombres,Sector Informal,35.619415617870025
2016,Mujeres,Empleo Doméstico,34.26493256262042
2016,Mujeres,No clasificados por sector,31.038216560509554
2016,Mujeres,Sector Formal,40.22119135477069
2016,Mujeres,Sector Informal,28.04881550610194
2017,Hombres,Empleo Doméstico,44.76923076923077
2017,Hombres,No clasificados por sector,38.3939223410242
2017,Hombres,Sector Formal,44.357350901525656
2017,Hombres,Sector Informal,36.05091324200913
2017,Mujeres,Empleo Doméstico,34.93650793650794
2017,Mujeres,No clasificados por sector,31.868217054263567
2017,Mujeres,Sector Formal,40.40996091792765
2017,Mujeres,Sector Informal,28.087642744406278
2018,Hombres,Empleo Doméstico,40.857142857142854
2018,Hombres,No clasificados por sector,38.32817037754114
2018,Hombres,Sector Formal,43.469437340153455
2018,Hombres,Sector Informal,35.97016323253947
2018,Mujeres,Empleo Doméstico,35.608695652173914
2018,Mujeres,No clasificados por sector,33.34674922600619
2018,Mujeres,Sector Formal,40.17996636142777
2018,Mujeres,Sector Informal,27.996541681834728
